class name,time,location,instructors,dates,campus
ARC 6356 - Architectural Design 10,TuTh 2:00PM - 6:15PM,Paul Cejas Architecture 225,Camilo Rosales,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 6356 - Architectural Design 10,TuTh 2:00PM - 6:15PM,Paul Cejas Architecture 215,TBA OCM,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 6356 - Architectural Design 10,TuTh 2:00PM - 6:15PM,Paul Cejas Architecture 115,Eric Goldemberg,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 6910 - Graduate Seminar,We 9:30AM - 12:30PM,Paul Cejas Architecture 131,Cynthia Ottchen,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 6910 - Graduate Seminar,We 9:30AM - 12:30PM,Graham Center 140,Jaime Canaves,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 6910 - Graduate Seminar,We 9:30AM - 12:30PM,Paul Cejas Architecture 167,Marcelo Ertorteguy,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 6910 - Graduate Seminar,We 9:30AM - 12:30PM,Paul Cejas Architecture 165,Nicholas Gelpi,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 6910 - Graduate Seminar,We 9:30AM - 12:30PM,Paul Cejas Architecture 317,"Eric Goldemberg,",08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 6910 - Graduate Seminar,We 9:30AM - 12:30PM,Paul Cejas Architecture 318,TBA OCM,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 6910 - Graduate Seminar,We 9:30AM - 12:30PM,Paul Cejas Architecture 310,TBA OCM,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 6910 - Graduate Seminar,TBA,TBA,Henry Rueda Coronel,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARE 3313 - Content and Methods of Teaching Elementary Art,Tu 9:30AM - 12:15PM,Ziff Education Bldg 160,Sabine Bittel,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARE 4316 - Special Teaching Laboratory: Art in Grades K-5,Tu 5:00PM - 9:05PM,Ziff Education Bldg 160,Gerald Obregon,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARE 6746 - Seminar in Art Education: Contemporary Issues and Research,We 5:00PM - 7:30PM,Charles E. Perry (PC) 439,David Chang,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARH 2000 - Exploring Art,MoWe 10:00AM - 12:40PM,College of Business Complex155,Roxana Corradino,10/21/2024 - 12/07/2024,Modesto A. Maidique Campus
ARH 2051 - Art History Survey II,TuTh 11:00AM - 12:15PM,Green Library 250,Silvia Espinosa,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARH 3350 - Baroque Art,TuTh 2:00PM - 3:15PM,Green Library 100,Silvia Espinosa,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARH 3811 - Studies in the Methodology of Art History,MoWe 12:30PM - 1:45PM,Ocean Bank Convoc Center 117,Daniel Guernsey,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARH 4413 - Enlightenment and Romanticism,MoWe 9:30AM - 10:45AM,Graham Center 287A,Daniel Guernsey,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARH 4450 - Modern Art,MoWe 3:30PM - 4:45PM,Owa Ehan 100,Daniel Guernsey,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
